08/01/2023,FI,2,,I,SPH,NE,13.05
08/01/2023,FI,1,,I,SPH,NW,7.97
08/01/2023,FI,2,,I,SPH,NW,7.97
08/01/2023,FI,1,,I,SPH,SC,19.03
08/01/2023,FI,2,,I,SPH,SC,19.03
08/01/2023,FI,1,,I,SPH,SE,19.03
08/01/2023,FI,2,,I,SPH,SE,19.03
08/01/2023,FI,1,,I,SPH,SW,20.83
08/01/2023,FI,2,,I,SPH,SW,20.83
08/01/2023,HE,,,C,SDT,ACR,9.61
08/01/2023,HE,,,C,SPH,ACR,6.01
08/01/2023,HE,1,,I,SDT,NC,13.24
08/01/2023,HE,2,,I,SDT,NC,13.24
08/01/2023,HE,1,,I,SDT,NE,16.21
08/01/2023,HE,2,,I,SDT,NE,16.21
08/01/2023,HE,1,,I,SDT,NW,2.82
08/01/2023,HE,2,,I,SDT,NW,2.82
08/01/2023,HE,1,,I,SDT,SC,8.48
08/01/2023,HE,2,,I,SDT,SC,8.48
08/01/2023,HE,1,,I,SDT,SE,15.37
08/01/2023,HE,2,,I,SDT,SE,15.37
08/01/2023,HE,1,,I,SDT,SW,16.89
08/01/2023,HE,2,,I,SDT,SW,16.89
08/01/2023,HE,1,,I,SFD,NC,10.94
08/01/2023,HE,2,,I,SFD,NC,10.94
08/01/2023,HE,1,,I,SFD,NE,12.92
08/01/2023,HE,2,,I,SFD,NE,12.92
08/01/2023,HE,1,,I,SFD,NW,2.33
08/01/2023,HE,2,,I,SFD,NW,2.33
08/01/2023,HE,1,,I,SFD,SC,6.76
08/01/2023,HE,2,,I,SFD,SC,6.76
08/01/2023,HE,1,,I,SFD,SE,12.71
08/01/2023,HE,2,,I,SFD,SE,12.71
08/01/2023,HE,1,,I,SFD,SW,13.96
08/01/2023,HE,2,,I,SFD,SW,13.96
08/01/2023,HE,1,,I,SPH,NC,7.09
08/01/2023,HE,2,,I,SPH,NC,7.09
08/01/2023,HE,1,,I,SPH,NE,13.05
08/01/2023,HE,2,,I,SPH,NE,13.05
08/01/2023,HE,1,,I,SPH,NW,1.51
08/01/2023,HE,2,,I,SPH,NW,1.51
08/01/2023,HE,1,,I,SPH,SC,6.83
08/01/2023,HE,2,,I,SPH,SC,6.83
08/01/2023,HE,1,,I,SPH,SE,8.24
08/01/2023,HE,2,,I,SPH,SE,8.24
08/01/2023,HE,1,,I,SPH,SW,9.05
08/01/2023,HE,2,,I,SPH,SW,9.05
08/01/2023,LA,,,C,SDT,ACR,11.72
08/01/2023,LA,,,C,SPH,ACR,7.33
08/01/2023,LA,1,,I,SDT,NC,21.46
08/01/2023,LA,2,,I,SDT,NC,21.46
08/01/2023,LA,1,,I,SDT,NE,16.21
08/01/2023,LA,2,,I,SDT,NE,16.21
08/01/2023,LA,1,,I,SDT,NW,9.89
08/01/2023,LA,2,,I,SDT,NW,9.89
08/01/2023,LA,1,,I,SDT,SC,8.48
08/01/2023,LA,2,,I,SDT,SC,8.48
08/01/2023,LA,1,,I,SDT,SE,22.26
08/01/2023,LA,2,,I,SDT,SE,22.26
08/01/2023,LA,1,,I,SDT,SW,22.26
08/01/2023,LA,2,,I,SDT,SW,22.26
08/01/2023,LA,1,,I,SFD,NC,17.11
08/01/2023,LA,2,,I,SFD,NC,17.11
08/01/2023,LA,1,,I,SFD,NE,12.92
08/01/2023,LA,2,,I,SFD,NE,12.92
08/01/2023,LA,1,,I,SFD,NW,7.89
08/01/2023,LA,2,,I,SFD,NW,7.89
